time	distance	speed
19150.999999999916	149597503113.16974	25000.258048737574	
38070.4999999999	149594430863.09982	25000.660632320938	
58027.99999999975	149590386869.3993	25001.25697549782	
77441.39999999967	149585845580.31934	25001.990838559566	
99448.7999999998	149579559500.7129	25003.04071924906	
119230.50000000003	149573445421.48767	25004.134615013503	
138236.59999999995	149567012019.28064	25005.331733510975	
158303.09999999992	149559405821.37585	25006.76937806365	
179474.29999999987	149550476413.91943	25008.47949714067	
200947.90000000008	149540577761.8333	25010.407908939327	
222989.09999999995	149529501963.7873	25012.59320583866	
242957.30000000005	149518977793.74918	25014.72713644131	
265918.4999999997	149505603551.47873	25017.420317003092	
286090.2999999997	149493424942.95752	25019.939663946025	
306214.9000000001	149480569112.7387	25022.621611109003	
325846.89999999973	149467400740.25916	25025.395761322277	
349164.8999999999	149450370765.511	25028.942177988476	
369043.5000000001	149435505661.51172	25032.110575056067	
389028.69999999995	149419849278.9887	25035.463139981108	
408801.9000000003	149403694227.4395	25038.942013927328	
431479.8	149383929749.79044	25043.165477759743	
450760.4000000001	149366805935.29944	25046.892488946163	
470718.5999999997	149348312831.2287	25050.920634949416	
490009.80000000016	149329850059.9169	25054.965811669204	
509520.9000000001	149310487116.72903	25059.21729404837	
531425.5000000001	149287640845.7484	25064.205846579644	
551487.5999999997	149266197727.3889	25068.932273877967	
570487.7000000002	149245358781.68945	25073.553533027927	
589466.7000000001	149223913013.46384	25078.320096785937	
608659.9999999997	149201557838.93698	25083.295679275743	
632022.9	149172893196.6218	25089.608573298858	
651594.6999999996	149148585220.8495	25095.035880890842	
671650.3999999999	149122921134.5555	25100.768489211878	
690655.5000000001	149098069359.56442	25106.34620438994	
711833.6999999997	149069354683.03024	25112.76279039187	
734382.6000000001	149037731965.2288	25119.81657351525	
753371.5000000002	149010813732.28952	25125.888213208615	
772344.9999999998	148983287271.97708	25132.105707246956	
791634.0000000003	148954619331.75403	25138.584322193976	
812312.5000000001	148922989495.16415	25145.717270820864	
832259.5999999996	148891854902.22803	25152.760607830995	
851316.2000000004	148861559915.97327	25159.63697406501	
870287.7999999999	148830776972.8742	25166.63328070773	
889293.8	148799301275.3304	25173.794141908675	
908283.7999999997	148767221125.84268	25181.100361637826	
928308.8	148732583130.91547	25188.9793103485	
948377.5999999999	148697158493.00574	25197.04505176051	
968249.3000000003	148661409299.17	25205.196496080534	
987254.4000000005	148626670152.19818	25213.1396088392	
1006243.9000000005	148591328713.38788	25221.22786491659	
1025216.9999999998	148555388192.11636	25229.460589854458	
1045227.2000000004	148516674455.4215	25238.318012981304	
1066139.1	148475352545.34854	25247.76432845502	
1085181.6999999997	148437271655.3568	25256.50871034302	
1104176.2999999998	148398658959.85837	25265.382923961857	
1123181.1	148359391406.97708	25274.414325291706	
1143144.9999999998	148317344920.21155	25284.07531239889	
1166055.9000000001	148267823534.50653	25295.403821205167	
1185139.9999999998	148226312085.95923	25304.972631182103	
1205054.4	148182214223.58127	25315.130212074753	
1225032.5999999996	148137269081.45175	25325.48948031909	
1245036.8999999997	148091561330.7042	25336.031729915303	
1264185.6999999997	148047250627.09256	25346.27351912804	
1284021.7000000004	148000589848.1729	25357.053476011955	
1303074.7	147955212329.23438	25367.557317525112	
1323035.1000000003	147906881938.75113	25378.735606925373	
1342036.9000000001	147860334755.99472	25389.524817846985	
1363319.4	147807155441.36188	25401.815493132865	
1382944.0999999996	147757613178.7857	25413.302706526796	
1402987.5999999994	147706266589.09027	25425.20818366868	
1422013.5999999996	147656993628.17584	25436.657408479372	
1440983.4999999998	147607241587.09326	25448.225568282658	
1459960.2999999996	147556840468.35522	25459.951174916045	
1481961.1999999997	147497213216.80203	25473.77108423026	
1500958.2999999998	147445393378.5599	25485.840977537257	
1519928.0999999996	147393021109.58572	25498.046722899966	
1538920.4999999998	147339953170.59702	25510.420938800005	
1557907.2	147286271152.90234	25522.945204653806	
1576985.8000000003	147231683502.29785	25535.685989101476	
1597926.9000000001	147170795375.0268	25549.869477633067	
1617656.5	147112874612.6896	25563.39168015185	
1636687.8	147056440503.11102	25576.586220757406	
1656573.6	146996691887.2701	25590.54748258048	
1675650.4000000006	146938819182.52356	25604.091992596914	
1698647.0000000005	146867655820.02988	25620.67310401739	
1719558.9000000001	146802409367.5355	25635.925615426342	
1739609.2000000004	146739240064.86694	25650.717044086876	
1758594.5999999996	146678903104.37427	25664.871585654037	
1780013.0999999999	146609756620.73654	25681.05287559718	
1799505.7000000002	146546363041.3794	25695.931295471597	
1818574.4999999995	146483755843.40213	25710.64025340127	
1837529.9	146420905271.70297	25725.415784817676	
1856559.4000000001	146357169611.1115	25740.405510622197	
1875538.5000000002	146292979401.97418	25755.51053681804	
1898451.5999999996	146214087861.21722	25774.000289462427	
1917515.4999999995	146148206728.01797	25789.518701241795	
1936991.7999999996	146080196135.59412	25805.539150037635	
1956519.7999999998	146011334811.26736	25821.767329405073	
1975476.5000000002	145943919666.73685	25837.67296188996	
1995764.4	145870908518.9364	25854.88198591969	
37166744.49999999	11587273340861.758	224366.9276116177	
