time	distance	speed
20468.300000000105	149597147805.5628	25000.294769167373	
38940.69999999994	149594161715.21918	25000.69215138844	
57742.90000000004	149590471017.7711	25001.245496705294	
76001.80000000022	149586352447.06616	25001.918718450648	
94153.40000000015	149581690095.18585	25002.724527958188	
112335.49999999991	149576437313.5681	25003.669428037352	
130524.19999999997	149570601787.18936	25004.752395166815	
148765.89999999988	149564160733.5007	25005.97730254182	
166894.69999999984	149557193444.9757	25007.33085137699	
186719.30000000002	149548715051.8263	25008.984306145165	
205946.40000000017	149539901839.49127	25010.7385496068	
223949.60000000006	149531192549.29016	25012.509758612538	
242634.30000000016	149521476747.25	25014.497080434496	
260839.3000000002	149511473189.46597	25016.568917174198	
279034.9999999999	149500894803.42105	25018.777573420248	
297221.79999999993	149489742173.96085	25021.122913730902	
315996.30000000005	149477554942.4809	25023.6941025222	
335160.80000000005	149464432379.41592	25026.473928142237	
354857.2999999998	149450211865.0733	25029.495656670228	
374774.4000000001	149435113870.54144	25032.717885917264	
394697.10000000003	149419314705.94583	25036.106570157415	
414642.8999999999	149402796903.34744	25039.665249812897	
433599.39999999973	149386562964.58197	25043.19192767908	
457529.8999999998	149364461185.30554	25047.917230499515	
476490.09999999974	149346797040.5547	25051.783982559155	
495447.0999999996	149328505679.5616	25055.80008323875	
514558.2	149309409886.63522	25060.00218056028	
532645.7999999999	149290856746.38626	25064.1105249749	
551851.3999999998	149270400669.77243	25068.633082452783	
570909.1000000001	149249479219.7096	25073.271750681444	
589043.8000000002	149229079094.82712	25077.818366326577	
607241.8	149208020906.49606	25082.519616401358	
625996.6	149185648220.43552	25087.51479486932	
643997.5000000001	149163675405.97113	25092.440772752445	
662158.1999999998	149140914169.1673	25097.549284695517	
680341.7	149117542202.4154	25102.802677590425	
698555.1	149093547088.1876	25108.203705388074	
716705.5000000001	149069062883.568	25113.723636814964	
735897.2999999999	149042425917.14038	25119.72030656621	
754861.0	149015496730.93146	25125.79509429292	
772891.7000000002	148989407937.05814	25131.70235593754	
791093.3999999998	148962474717.71506	25137.805398721903	
809310.7999999999	148934934692.5385	25144.05292525574	
828179.4000000001	148905723025.94064	25150.676647419805	
846223.0999999999	148877293427.44476	25157.143056087287	
864264.7999999998	148848296283.22296	25163.745328507375	
882295.7999999999	148818747139.11646	25170.48010091191	
900494.3999999998	148788326919.9788	25177.41742481468	
920651.7	148753718000.42023	25185.283553565103	
939936.2999999997	148720041431.77927	25192.96050791067	
957940.6	148688150307.25024	25200.257345620328	
976131.7999999999	148655330461.6905	25207.770067430258	
994129.7000000001	148622309255.1422	25215.338199412112	
1012263.1000000001	148588450337.37732	25223.10238635584	
1030447.5999999999	148553911509.51132	25231.02791664247	
1048636.0	148518784966.35324	25239.09447148365	
1066787.0	148483156612.9243	25247.283024881304	
1085980.8	148444732675.90732	25256.103114760735	
1105901.7999999996	148404082816.18005	25265.428916954406	
1124088.5999999996	148366554328.0783	25274.07316482388	
1142268.5999999996	148328461279.08847	25282.853597502253	
1160407.7999999998	148289880941.01904	25291.75299201559	
1178597.1999999997	148250609373.96585	25300.81699323632	
1196774.1999999997	148210786824.44284	25310.014327487235	
1214919.9999999998	148170458663.43457	25319.334866762867	
1232982.2999999998	148129752324.21353	25328.750012500364	
1251973.8999999994	148086228562.2398	25338.807309738142	
1271930.4999999995	148039695975.72073	25349.549842751552	
1289937.8999999997	147997322102.94962	25359.370118326042	
1308165.2	147953828164.8967	25369.4522216285	
1326336.5999999999	147909894653.21146	25379.64303647398	
1344398.9999999998	147865663631.51086	25389.910462843498	
1362519.2999999993	147820710504.5685	25400.3503841448	
1380709.9999999993	147774996778.98193	25410.971668032875	
1398814.3999999997	147728934298.1799	25421.681263806822	
1416996.4000000001	147682088414.8016	25432.577605942686	
1437106.7	147629364487.332	25444.81290683759	
1455752.9999999993	147580012593.0976	25456.29728429876	
1473846.7	147531602605.83505	25467.57763961063	
1492028.7999999998	147482369336.7861	25479.054303322177	
1510107.8	147432853210.47052	25490.604538230826	
1528189.9000000001	147382756404.82394	25502.29609126409	
1546399.4999999998	147331714286.42737	25514.212140623822	
1565087.4000000004	147278673940.95404	25526.59281202726	
1583369.0000000002	147226241315.08362	25538.84475133086	
1602415.9000000004	147170903038.75378	25551.768844842187	
1621248.9000000001	147115587352.5668	25564.698160374366	
1640226.0999999994	147059204283.55658	25577.881269242578	
1658713.8	147003725853.40103	25590.867857151974	
1677021.4000000001	146948219596.19897	25603.870420700467	
1695994.1	146890001466.8088	25617.503305573246	
1714014.4	146834229088.38498	25630.585878625043	
1732173.8	146777436942.71484	25643.911600462834	
1750395.3	146719864824.02502	25657.425694357164	
1769904.2	146657427705.26373	25672.065543849443	
1787914.8000000003	146599362405.22946	25685.712307263984	
1807010.4000000004	146537052876.22867	25700.344169877342	
1825770.0999999999	146475258667.0602	25714.868154736003	
1843857.5000000005	146415172773.60214	25729.008802423235	
1862045.6	146354165558.61075	25743.371216498643	
1880345.2	146292189429.85278	25757.966628157137	
1898366.9000000001	146230614805.73053	25772.478954532624	
1916373.9	146168526507.1176	25787.119300095026	
1935480.4999999998	146101898286.17886	25802.817681430377	
1955657.9000000004	146030710949.22064	25819.57837147814	
43753.85640618826	149586967198.09344	25001.34692074812	
82738.46518658535	149573628958.6901	25003.12595048174	
120962.9672088414	149558134456.0907	25005.470118122532	
159529.5172722594	149539824920.92813	25008.45837758512	
198014.14471841027	149518971213.47037	25012.056298320593	
236402.7031159617	149495601795.54434	25016.25825194497	
274762.54636931873	149469672522.32376	25021.070151560118	
313215.5027005483	149441066379.6023	25026.51141443578	
354747.3136837767	149406493705.48465	25033.144848256965	
395523.66300572106	149369786076.97177	25040.342883344183	
433720.71672837564	149333337339.35504	25047.6666508154	
472046.1440368531	149294161278.34912	25055.63028523495	
510496.77781965415	149252235787.47067	25064.23951928465	
549686.6154247469	149206659098.8353	25073.665188760428	
